"","id","title","date","abstract","topic"
"1","https://openalex.org/W3008322262","Online learning performance and satisfaction: do perceptions and readiness matter?","2020-02-16","The current study proposes a comprehensive structural model to determine whether online learning perceptions and online learning readiness affect students’ online learning performance and course sa...","engagement"
"2","https://openalex.org/W2901736561","A comparison of flipped learning with gamification, traditional learning, and online independent study: the effects on students’ mathematics achievement and cognitive engagement","2020-05-18","This study examines Grade 9 students’ mathematics achievement and cognitive engagement under three different instructional approaches: traditional learning, flipped learning with gamification, and ...","engagement"
"3","https://openalex.org/W2938441647","Technology Enhanced Learning in higher education; motivations, engagement and academic achievement","2019-04-08","Technology Enhanced Learning (TEL) has become a common feature of Higher Education. However, research has been hindered by a lack of differentiation between usage and engagement and not recognising the heterogeneity of TEL applications. The current study aimed to assess the impact of emotional, cognitive and behavioural engagement with TEL on students’ grades and to also look at how motivation levels differentially predict engagement across different types of TEL. In a sample of 524 undergraduate students, we measured engagement and usage of TEL, student learning motivations and self-report student grades. Our results indicate that intrinsic motivations predict engagement, whilst extrinsic motivations predict usage. Importantly, engagement was predictive of grades whereas usage was not. Furthermore, when TEL was broken down by type, the use of social media groups was a significant predictor of grade, whereas reviewing lecture slides/ recordings, reading additional content and using course blogs/ discussion boards were not. We conclude that a sole focus on usage of TEL is misleading. Implications for researchers and educators are discussed.","engagement"
"4","https://openalex.org/W2769165472","To gamify or not to gamify? An experimental field study of the influence of badges on motivation, activity, and performance in an online learning course","2018-03-01","Over the last few years, the implementation of game elements like badges in non-game environments has become increasingly popular (Butler, 2014). In this study, we tested whether badges, which could be received for successful task performance and specific activities within an e-learning course in a higher education setting, had an impact on students' motivation and performance. In a between-subjects experimental field study, students were randomly assigned to three different conditions (no badges, badges visible to peers, badges only visible to students themselves). The results show that badges have less impact on motivation and performance than is commonly assumed. Independent of condition, students intrinsic motivation decreased over time. Contrary to expectation, the badges that could only be viewed by the students themselves were evaluated more positively than those that could also be viewed by others. Field experiment shows potential influences of badges in online course over time.Badges have less impact on motivation and performance than is commonly assumed.Badges do not hinder a decrease of students' intrinsic motivation over time.Badges did not seem to enable social comparison processes.","engagement"
"5","https://openalex.org/W2949753675","The roles of academic engagement and digital readiness in students’ achievements in university e-learning environments","2019-06-21","University students, who are assumed to be digital natives, are exposed to campus e-learning environments to improve their academic performance at the beginning of their academic careers. However, previous studies of students’ perceptions of e-learning demonstrate a lack of consistent results with respect to the prediction of their academic achievement. The goal of this study was to examine university students’ perceptions of e-learning, based on their experiences, and the mediating roles of academic engagement and digital readiness within the university context of an e-learning environment for academic achievement. A total of 614 undergraduate students enrolled in a Korean university participated in this study. Using a partial least squares model to develop the theory, we examined students engaging in university e-learning environments in relation to their perceptions of e-learning, digital readiness, academic engagement, and academic achievement (i.e., grade point average). The results are significant for the importance of students’ academic engagement and digital readiness as mediators in their perceptions of e-learning predicted by academic achievement. Although students positively perceived e-learning experiences on campus, they must have strong digital skills to perform academic work and commit to effortful involvement in the context of academic learning in university e-learning environments. Our results provide practical implications for ways to enhance effective adoption of e-learning environments by college students, educators, and administrators.","engagement"
"6","https://openalex.org/W2048072294","Self-regulated learning: the role of motivation, emotion, and use of learning strategies in students’ learning experiences in a self-paced online mathematics course","2015-03-18","Enrollment in online remedial mathematics courses has increased in popularity in institutions of higher learning; however, students unskilled in self-regulated learning (SRL) find online remedial mathematics courses particularly challenging. We investigated the role of SRL, specifically motivation, emotion, and learning strategies, in students’ learning experiences in a remedial online mathematics course. With an online survey of 229 college students, we found that student motivation explained a small portion of variance in achievement; whereas student motivation and emotion explained a significant portion of variance in satisfaction. In addition, significant differences in motivation and emotion were found in passing and nonpassing students; however, learning strategies did not influence student achievement and satisfaction. Implications for teaching and learning in self-paced online remedial mathematics courses are discussed.","engagement"
"7","https://openalex.org/W3170158294","Students matter the most in learning analytics: The effects of internal and instructional conditions in predicting academic success","2021-10-01","Predictive modelling of academic success and retention has been a key research theme in Learning Analytics. While the initial work on predictive modelling was focused on the development of general predictive models, portable across different learning settings, later studies demonstrated the drawbacks of not considering the specificities of course design and disciplinary context. This study builds on the methods and findings of related earlier studies to further explore factors predictive of learners' academic success in blended learning. In doing so, it differentiates itself by (i) relying on a larger and homogeneous course sample (15 courses, 50 course offerings in total), and (ii) considering both internal and external conditions as factors affecting the learning process. We apply mixed effect linear regression models, to examine: i) to what extent indicators of students' online learning behaviour can explain the variability in the final grades, and ii) to what extent that variability is attributable to the course and students' internal conditions, not captured by the logged data. Having examined different types of behaviour indicators (e.g., indicators of the overall activity level, those indicative of regularity of study, etc), we found little difference, if any, in their predictive power. Our results further indicate that a low proportion of variance is explained by the behaviour-based indicators, while a significant portion of variability stems from the learners' internal conditions. Hence, when variability in external conditions is largely controlled for (the same institution, discipline, and nominal pedagogical model), students’ internal state is the key predictor of their course performance. • Low portability of trace-based student success predictors across homogenous courses. • Low predictive power of online learning behaviour indicators in blended courses. • Activity level and regularity of study indicators have comparable predictive power. • Students' internal state can explain a large portion of variance in the course grades. • In similar course settings, study success relates most to students' internal state.","engagement"
"8","https://openalex.org/W2482676951","The use of a mobile learning management system and academic achievement of online students","2016-11-01","Mobile learning has become widespread, and higher education institutions have started adopting mobile technology to cope with the needs of students. Despite its adoption in higher education settings, little research has been done to examine factors influencing the adoption of mobile learning management systems (LMSs) and the learning effects on students' academic achievement. To explore the relationships among factors and the educational effectiveness of mobile LMSs, students' demographic backgrounds (age and employment status), self-reported psychological data (self-efficacy, innovativeness, perceived ease of use, and perceived usefulness of mobile LMSs), and external factors (subjective norms) were collected from 1604 students from 10 repetitions of the same course in an online university in Korea, in addition to their test scores. The logistic regression results showed that age and employment status were significant factors in predicting students' adoption of mobile LMSs and that there were potential connections between mobile LMS use and students' gender, age, and psychological characteristics. In addition, the study demonstrated that the use of a mobile LMS positively influenced online students' academic achievement. The findings from this empirical study present a better understanding of students' usage of mobile devices in higher education. Factors influencing the adoption of mobile LMS were investigated.The use of mobile LMS was affected by multi-dimensional characteristics of factors.The use of mobile LMS had a positive relationship with students' achievement.","engagement"
"9","https://openalex.org/W2793243138","Faculty members’ motivation for teaching and best practices: Testing a model based on self-determination theory across institution types","2018-04-01","Abstract This study tested a conceptual model based on self-determination theory to examine how university faculty members’ motivation for teaching predicts their utilization of teaching best practices, and explored if faculty at various higher education institution types are differentially motivated for teaching. Data from a national online survey of 1671 faculty from 19 universities was analyzed using structural equation modeling. Support for the overall model showed faculty autonomy, competence, and relatedness positively predicted autonomous motivation (intrinsic, identified), but not controlled motivation (introjected, external). Autonomous motivation, in turn, predicted greater incorporation of effective teaching strategies, namely instructional clarity, higher-order learning, reflective and integrative learning, and collaborative learning. There were no differences found across faculty at Doctoral, Master’s, and Bachelor’s institutions in terms of autonomous motivation mean levels, nor for the predictive effects of autonomous motivation on teaching best practices. The findings have implications for the faculty motivation and teaching research literatures, as well as for faculty development initiatives aimed at improving teaching effectiveness.","engagement"
"10","https://openalex.org/W2911185633","The Effects of Flow, Emotional Engagement, and Motivation on Success in a Gamified Online Learning Environment","2020-01-01","This study aimed to examine the factors that explain academic success in a gamified online learning environment considering flow, emotional engagement, and motivation. The gamified online learning environment was used by 40 undergraduate students, and the data gathered from them. A hypothetical path model showing the interaction of variables with each other was suggested and tested. The experience of flow and emotional engagement in the gamified learning setting had a highly significant impact on motivation. Furthermore, it was concluded that flow increased academic success through increasing motivation. In line with numerous studies in the literature, motivation was determined to have a positive effect on academic success. In addition, the results show that flow and emotional engagement explained 68% of variance of motivation; flow, emotional engagement, and motivation explained 22% of variance of academic success. It is suggested that subsequent studies should focus on the establishment and testing of models that would help to explain success in gamified settings which should incorporate game elements and player types in the structural model.","engagement"
