"","x"
"1","A Systematic Review of Empirical Studies on Learning Analytics Dashboards: A Self-Regulated Learning Perspective"
"2","Linking learning behavior analytics and learning science concepts: Designing a learning analytics dashboard for feedback to support learning regulation"
"3","LADA: A learning analytics dashboard for academic advising"
"4","An integrated framework for course adapted student learning analytics dashboard"
"5","Guiding the choice of learning dashboard visualizations: Linking dashboard design and data visualization concepts"
"6","Designing in Context: Reaching Beyond Usability in Learning Analytics Dashboard Design"
"7","Learning analytics dashboards"
"8","Associations between learning analytics dashboard exposure and motivation and self-regulated learning"
"9","A handheld classroom dashboard: Teachers’ perspectives on the use of real-time collaborative learning analytics"
"10","Effects of learner interaction with learning dashboards on academic performance in an e-learning environment"
"11","Learning analytics dashboards for adaptive support in face-to-face collaborative argumentation"
"12","Seeing students at scale: how faculty in large lecture courses act upon learning analytics dashboard data"
"13","Exploring students' sensemaking of learning analytics dashboards"
"14","It's My Data! Tensions Among Stakeholders of a Learning Analytics Dashboard"
"15","Factors that affect the success of learning analytics dashboards"
"16","Emodash: A dashboard supporting retrospective awareness of emotions in online learning"
"17","Learning dashboards at scale: early warning and overall first year experience"
"18","A Visual Dashboard to Track Learning Analytics for Educational Cloud Computing"
"19","Self-regulation and emotion matter: A case study of instructor interactions with a learning analytics dashboard"
"20","Adoption and impact of a learning analytics dashboard supporting the advisor—Student dialogue in a higher education institute in Latin America"
"21","Adaptation and evaluation of a learning analytics dashboard to improve academic support at three Latin American universities"
"22","DESIGN OF LEARNING ANALYTICS DASHBOARD SUPPORTING METACOGNITION"
"23","Staying on target: A systematic literature review on learner‐facing learning analytics dashboards"
"24","Recommending Insightful Drill-Downs Based on Learning Processes for Learning Analytics Dashboards"
"25","Applying learning analytics dashboards based on process‐oriented feedback to improve students' learning effectiveness"
"26","Predict or describe? How learning analytics dashboard design influences motivation and statistics anxiety in an online statistics course."
"27","Learning analytics dashboard: a tool for providing actionable insights to learners"
"28","Dashboards for Computer-Supported Collaborative Learning"
"29","Designing Human-Centered Learning Analytics Dashboard for Higher Education Using a Participatory Design Approach"
"30","A Theoretical and Evidence-Based Conceptual Design of MetaDash: An Intelligent Teacher Dashboard to Support Teachers' Decision Making and Students’ Self-Regulated Learning"
"31","Exploring critical factors of the perceived usefulness of a learning analytics dashboard for distance university students"
"32","Cognitive versus behavioral learning analytics dashboards for supporting learner’s awareness, reflection, and learning process"
"33","Automated insightful drill-down recommendations for learning analytics dashboards"
"34","Data Visualisation Literacy in Higher Education: An Exploratory Study of Understanding of a Learning Dashboard Tool"
"35","A Review of Learning Analytics Dashboard Research in Higher Education: Implications for Justice, Equity, Diversity, and Inclusion"
"36","A Visualisation Dashboard for Contested Collective Intelligence Learning Analytics to Improve Sensemaking of Group Discussion"
"37","Student Sensemaking of Learning Analytics Dashboard Interventions in Higher Education"
"38","The effects of a learning analytics dashboard on teachers’ diagnosis and intervention in computer-supported collaborative learning"
"39","A Teacher-facing Learning Analytics Dashboard for Process-oriented Feedback in Online Learning"
"40","Intelligent Learning Analytics Dashboards: Automated Drill-Down Recommendations to Support Teacher Data Exploration"
"41","Applying and Evaluating Visualization Design Guidelines for a MOOC Dashboard to Facilitate Self-Regulated Learning Based on Learning Analytics"
"42","Investigating Learners' Perception of Learning Analytics Dashboard to Improve Learning Interaction in Online Learning System"
"43","Dashboard for Evaluating the Quality of Open Learning Courses"
"44","Learning Analytics Dashboard for Motivation and Performance"
